# SYNTHETIC TWO-PLANE COSINE MODEL. NOT MEASURED OR DIGITIZED FROM A PAPER.
# Reference model: gain 6.5 dBi; widths 82.44 and 50 degrees; theta +Z, phi +X toward +Y.
frequency_ghz,theta_deg,phi_deg,gain_dbi
2.205,30,140,3.789120
2.205,30,150,4.259228
2.205,30,160,4.642463
2.205,30,170,4.892602
2.205,30,180,4.979475
2.205,30,190,4.892602
2.205,30,200,4.642463
2.205,30,210,4.259228
2.205,30,220,3.789120
2.205,30,230,3.288841
2.205,30,240,2.818733
2.205,30,250,2.435498
2.205,30,260,2.185359
2.205,30,270,2.098486
2.205,30,280,2.185359
2.205,30,290,2.435498
2.205,30,300,2.818733
2.205,30,310,3.288841
2.205,30,320,3.789120
2.205,30,330,4.259228
2.205,30,340,4.642463
2.205,30,350,4.892602
2.205,40,0,3.682703
2.205,40,10,3.521742
2.205,40,20,3.058273
2.205,40,30,2.348197
2.205,40,40,1.477160
2.205,40,50,0.550222
2.205,40,60,-0.320815
2.205,40,70,-1.030891
2.205,40,80,-1.494360
2.205,40,90,-1.655321
2.205,40,100,-1.494360
2.205,40,110,-1.030891
2.205,40,120,-0.320815
2.205,40,130,0.550222
2.205,40,140,1.477160
2.205,40,150,2.348197
2.205,40,160,3.058273
2.205,40,170,3.521742
2.205,40,180,3.682703
2.205,40,190,3.521742
2.205,40,200,3.058273
2.205,40,210,2.348197
2.205,40,220,1.477160
2.205,40,230,0.550222
2.205,40,240,-0.320815
2.205,40,250,-1.030891
2.205,40,260,-1.494360
2.205,40,270,-1.655321
2.205,40,280,-1.494360
2.205,40,290,-1.030891
2.205,40,300,-0.320815
2.205,40,310,0.550222
2.205,40,320,1.477160
2.205,40,330,2.348197
2.205,40,340,3.058273
2.205,40,350,3.521742
2.205,50,0,1.828298
2.205,50,10,1.561389
2.205,50,20,0.792855
2.205,50,30,-0.384607
2.205,50,40,-1.828979
2.205,50,50,-3.366047
2.205,50,60,-4.810419
2.205,50,70,-5.987881
2.205,50,80,-6.756415
2.205,50,90,-7.023324
2.205,50,100,-6.756415
2.205,50,110,-5.987881
2.205,50,120,-4.810419
2.205,50,130,-3.366047
2.205,50,140,-1.828979
2.205,50,150,-0.384607
2.205,50,160,0.792855
2.205,50,170,1.561389
2.205,50,180,1.828298
2.205,50,190,1.561389
2.205,50,200,0.792855
2.205,50,210,-0.384607
2.205,50,220,-1.828979
2.205,50,230,-3.366047
2.205,50,240,-4.810419
2.205,50,250,-5.987881
2.205,50,260,-6.756415
2.205,50,270,-7.023324
2.205,50,280,-6.756415
2.205,50,290,-5.987881
2.205,50,300,-4.810419
2.205,50,310,-3.366047
2.205,50,320,-1.828979
2.205,50,330,-0.384607
2.205,50,340,0.792855
2.205,50,350,1.561389
2.205,60,0,-0.827171
2.205,60,10,-1.245796
2.205,60,20,-2.451177
2.205,60,30,-4.297928
2.205,60,40,-6.563303
2.205,60,50,-8.974065
2.205,60,60,-11.239441
2.205,60,70,-13.086192
2.205,60,80,-14.291573
2.205,60,90,-14.710197
2.205,60,100,-14.291573
2.205,60,110,-13.086192
2.205,60,120,-11.239441
2.205,60,130,-8.974065
2.205,60,140,-6.563303
2.205,60,150,-4.297928
2.205,60,160,-2.451177
2.205,60,170,-1.245796
2.205,60,180,-0.827171
2.205,60,190,-1.245796
2.205,60,200,-2.451177
2.205,60,210,-4.297928
2.205,60,220,-6.563303
2.205,60,230,-8.974065
2.205,60,240,-11.239441
2.205,60,250,-13.086192
2.205,60,260,-14.291573
2.205,60,270,-14.710197
2.205,60,280,-14.291573
2.205,60,290,-13.086192
2.205,60,300,-11.239441
2.205,60,310,-8.974065
2.205,60,320,-6.563303
2.205,60,330,-4.297928
2.205,60,340,-2.451177
2.205,60,350,-1.245796
2.205,70,0,-4.841338
2.205,70,10,-5.489305
2.205,70,20,-7.355050
2.205,70,30,-10.213538
2.205,70,40,-13.719992
2.205,70,50,-17.451482
2.205,70,60,-20.957936
2.205,70,70,-23.816424
2.205,70,80,-25.682169
2.205,70,90,-26.330136
2.205,70,100,-25.682169
2.205,70,110,-23.816424
2.205,70,120,-20.957936
2.205,70,130,-17.451482
2.205,70,140,-13.719992
2.205,70,150,-10.213538
2.205,70,160,-7.355050
2.205,70,170,-5.489305
2.205,70,180,-4.841338
2.205,70,190,-5.489305
2.205,70,200,-7.355050
2.205,70,210,-10.213538
2.205,70,220,-13.719992
2.205,70,230,-17.451482
2.205,70,240,-20.957936
2.205,70,250,-23.816424
2.205,70,260,-25.682169
2.205,70,270,-26.330136
2.205,70,280,-25.682169
2.205,70,290,-23.816424
2.205,70,300,-20.957936
2.205,70,310,-17.451482
2.205,70,320,-13.719992
2.205,70,330,-10.213538
2.205,70,340,-7.355050
2.205,70,350,-5.489305
2.205,80,0,-12.006682
2.205,80,10,-13.064027
2.205,80,20,-16.108531
2.205,80,30,-20.772983
2.205,80,40,-26.494779
2.205,80,50,-32.583788
2.205,80,60,-33.500000
2.205,80,70,-33.500000
2.205,80,80,-33.500000
2.205,80,90,-33.500000
2.205,80,100,-33.500000
2.205,80,110,-33.500000
2.205,80,120,-33.500000
2.205,80,130,-32.583788
2.205,80,140,-26.494779
2.205,80,150,-20.772983
2.205,80,160,-16.108531
2.205,80,170,-13.064027
2.205,80,180,-12.006682
2.205,80,190,-13.064027
2.205,80,200,-16.108531
2.205,80,210,-20.772983
2.205,80,220,-26.494779
2.205,80,230,-32.583788
2.205,80,240,-33.500000
2.205,80,250,-33.500000
2.205,80,260,-33.500000
2.205,80,270,-33.500000
2.205,80,280,-33.500000
2.205,80,290,-33.500000
2.205,80,300,-33.500000
2.205,80,310,-32.583788
2.205,80,320,-26.494779
2.205,80,330,-20.772983
2.205,80,340,-16.108531
2.205,80,350,-13.064027
2.205,90,0,-33.500000
2.205,90,10,-33.500000
2.205,90,20,-33.500000
2.205,90,30,-33.500000
2.205,90,40,-33.500000
2.205,90,50,-33.500000
2.205,90,60,-33.500000
2.205,90,70,-33.500000
2.205,90,80,-33.500000
2.205,90,90,-33.500000
2.205,90,100,-33.500000
2.205,90,110,-33.500000
2.205,90,120,-33.500000
2.205,90,130,-33.500000
2.205,90,140,-33.500000
2.205,90,150,-33.500000
2.205,90,160,-33.500000
2.205,90,170,-33.500000
2.205,90,180,-33.500000
2.205,90,190,-33.500000
2.205,90,200,-33.500000
2.205,90,210,-33.500000
2.205,90,220,-33.500000
2.205,90,230,-33.500000
2.205,90,240,-33.500000
2.205,90,250,-33.500000
2.205,90,260,-33.500000
2.205,90,270,-33.500000
2.205,90,280,-33.500000
2.205,90,290,-33.500000
2.205,90,300,-33.500000
2.205,90,310,-33.500000
2.205,90,320,-33.500000
2.205,90,330,-33.500000
2.205,90,340,-33.500000
2.205,90,350,-33.500000
2.205,100,0,-33.500000
2.205,100,10,-33.500000
2.205,100,20,-33.500000
2.205,100,30,-33.500000
2.205,100,40,-33.500000
2.205,100,50,-33.500000
2.205,100,60,-33.500000
2.205,100,70,-33.500000
2.205,100,80,-33.500000
2.205,100,90,-33.500000
2.205,100,100,-33.500000
2.205,100,110,-33.500000
2.205,100,120,-33.500000
2.205,100,130,-33.500000
2.205,100,140,-33.500000
2.205,100,150,-33.500000
2.205,100,160,-33.500000
2.205,100,170,-33.500000
2.205,100,180,-33.500000
2.205,100,190,-33.500000
2.205,100,200,-33.500000
2.205,100,210,-33.500000
2.205,100,220,-33.500000
2.205,100,230,-33.500000
2.205,100,240,-33.500000
2.205,100,250,-33.500000
2.205,100,260,-33.500000
2.205,100,270,-33.500000
2.205,100,280,-33.500000
2.205,100,290,-33.500000
2.205,100,300,-33.500000
2.205,100,310,-33.500000
2.205,100,320,-33.500000
2.205,100,330,-33.500000
2.205,100,340,-33.500000
2.205,100,350,-33.500000
2.205,110,0,-33.500000
2.205,110,10,-33.500000
2.205,110,20,-33.500000
2.205,110,30,-33.500000
2.205,110,40,-33.500000
2.205,110,50,-33.500000
2.205,110,60,-33.500000
2.205,110,70,-33.500000
2.205,110,80,-33.500000
2.205,110,90,-33.500000
2.205,110,100,-33.500000
2.205,110,110,-33.500000
2.205,110,120,-33.500000
2.205,110,130,-33.500000
2.205,110,140,-33.500000
2.205,110,150,-33.500000
2.205,110,160,-33.500000
2.205,110,170,-33.500000
2.205,110,180,-33.500000
2.205,110,190,-33.500000
2.205,110,200,-33.500000
2.205,110,210,-33.500000
2.205,110,220,-33.500000
2.205,110,230,-33.500000
2.205,110,240,-33.500000
2.205,110,250,-33.500000
2.205,110,260,-33.500000
2.205,110,270,-33.500000
2.205,110,280,-33.500000
2.205,110,290,-33.500000
2.205,110,300,-33.500000
2.205,110,310,-33.500000
2.205,110,320,-33.500000
2.205,110,330,-33.500000
2.205,110,340,-33.500000
2.205,110,350,-33.500000
2.205,120,0,-33.500000
2.205,120,10,-33.500000
2.205,120,20,-33.500000
2.205,120,30,-33.500000
2.205,120,40,-33.500000
2.205,120,50,-33.500000
2.205,120,60,-33.500000
2.205,120,70,-33.500000
2.205,120,80,-33.500000
2.205,120,90,-33.500000
2.205,120,100,-33.500000
2.205,120,110,-33.500000
2.205,120,120,-33.500000
2.205,120,130,-33.500000
2.205,120,140,-33.500000
2.205,120,150,-33.500000
2.205,120,160,-33.500000
2.205,120,170,-33.500000
2.205,120,180,-33.500000
2.205,120,190,-33.500000
2.205,120,200,-33.500000
2.205,120,210,-33.500000
2.205,120,220,-33.500000
2.205,120,230,-33.500000
2.205,120,240,-33.500000
2.205,120,250,-33.500000
2.205,120,260,-33.500000
2.205,120,270,-33.500000
2.205,120,280,-33.500000
2.205,120,290,-33.500000
2.205,120,300,-33.500000
2.205,120,310,-33.500000
2.205,120,320,-33.500000
2.205,120,330,-33.500000
2.205,120,340,-33.500000
2.205,120,350,-33.500000
2.205,130,0,-33.500000
2.205,130,10,-33.500000
2.205,130,20,-33.500000
2.205,130,30,-33.500000
2.205,130,40,-33.500000
2.205,130,50,-33.500000
2.205,130,60,-33.500000
2.205,130,70,-33.500000
2.205,130,80,-33.500000
2.205,130,90,-33.500000
2.205,130,100,-33.500000
2.205,130,110,-33.500000
2.205,130,120,-33.500000
2.205,130,130,-33.500000
2.205,130,140,-33.500000
2.205,130,150,-33.500000
2.205,130,160,-33.500000
2.205,130,170,-33.500000
2.205,130,180,-33.500000
2.205,130,190,-33.500000
2.205,130,200,-33.500000
2.205,130,210,-33.500000
2.205,130,220,-33.500000
2.205,130,230,-33.500000
2.205,130,240,-33.500000
2.205,130,250,-33.500000
2.205,130,260,-33.500000
2.205,130,270,-33.500000
2.205,130,280,-33.500000
2.205,130,290,-33.500000
2.205,130,300,-33.500000
2.205,130,310,-33.500000
2.205,130,320,-33.500000
2.205,130,330,-33.500000
2.205,130,340,-33.500000
2.205,130,350,-33.500000
2.205,140,0,-33.500000
2.205,140,10,-33.500000
2.205,140,20,-33.500000
2.205,140,30,-33.500000
2.205,140,40,-33.500000
2.205,140,50,-33.500000
2.205,140,60,-33.500000
2.205,140,70,-33.500000
2.205,140,80,-33.500000
2.205,140,90,-33.500000
2.205,140,100,-33.500000
2.205,140,110,-33.500000
2.205,140,120,-33.500000
2.205,140,130,-33.500000
2.205,140,140,-33.500000
2.205,140,150,-33.500000
2.205,140,160,-33.500000
2.205,140,170,-33.500000
2.205,140,180,-33.500000
2.205,140,190,-33.500000
2.205,140,200,-33.500000
2.205,140,210,-33.500000
2.205,140,220,-33.500000
2.205,140,230,-33.500000
2.205,140,240,-33.500000
2.205,140,250,-33.500000
2.205,140,260,-33.500000
2.205,140,270,-33.500000
2.205,140,280,-33.500000
2.205,140,290,-33.500000
2.205,140,300,-33.500000
2.205,140,310,-33.500000
2.205,140,320,-33.500000
2.205,140,330,-33.500000
2.205,140,340,-33.500000
2.205,140,350,-33.500000
2.205,150,0,-33.500000
2.205,150,10,-33.500000
2.205,150,20,-33.500000
2.205,150,30,-33.500000
2.205,150,40,-33.500000
2.205,150,50,-33.500000
2.205,150,60,-33.500000
2.205,150,70,-33.500000
2.205,150,80,-33.500000
2.205,150,90,-33.500000
2.205,150,100,-33.500000
2.205,150,110,-33.500000
2.205,150,120,-33.500000
2.205,150,130,-33.500000
2.205,150,140,-33.500000
2.205,150,150,-33.500000
2.205,150,160,-33.500000
2.205,150,170,-33.500000
2.205,150,180,-33.500000
2.205,150,190,-33.500000
2.205,150,200,-33.500000
2.205,150,210,-33.500000
2.205,150,220,-33.500000
2.205,150,230,-33.500000
2.205,150,240,-33.500000
2.205,150,250,-33.500000
2.205,150,260,-33.500000
2.205,150,270,-33.500000
2.205,150,280,-33.500000
2.205,150,290,-33.500000
2.205,150,300,-33.500000
2.205,150,310,-33.500000
2.205,150,320,-33.500000
2.205,150,330,-33.500000
2.205,150,340,-33.500000
2.205,150,350,-33.500000
2.205,160,0,-33.500000
2.205,160,10,-33.500000
2.205,160,20,-33.500000
2.205,160,30,-33.500000
2.205,160,40,-33.500000
2.205,160,50,-33.500000
2.205,160,60,-33.500000
2.205,160,70,-33.500000
2.205,160,80,-33.500000
2.205,160,90,-33.500000
2.205,160,100,-33.500000
2.205,160,110,-33.500000
2.205,160,120,-33.500000
2.205,160,130,-33.500000
2.205,160,140,-33.500000
2.205,160,150,-33.500000
2.205,160,160,-33.500000
2.205,160,170,-33.500000
2.205,160,180,-33.500000
2.205,160,190,-33.500000
2.205,160,200,-33.500000
2.205,160,210,-33.500000
2.205,160,220,-33.500000
2.205,160,230,-33.500000
2.205,160,240,-33.500000
2.205,160,250,-33.500000
2.205,160,260,-33.500000
2.205,160,270,-33.500000
2.205,160,280,-33.500000
2.205,160,290,-33.500000
2.205,160,300,-33.500000
2.205,160,310,-33.500000
2.205,160,320,-33.500000
2.205,160,330,-33.500000
2.205,160,340,-33.500000
2.205,160,350,-33.500000
2.205,170,0,-33.500000
2.205,170,10,-33.500000
2.205,170,20,-33.500000
2.205,170,30,-33.500000
2.205,170,40,-33.500000
2.205,170,50,-33.500000
2.205,170,60,-33.500000
2.205,170,70,-33.500000
2.205,170,80,-33.500000
2.205,170,90,-33.500000
2.205,170,100,-33.500000
2.205,170,110,-33.500000
2.205,170,120,-33.500000
2.205,170,130,-33.500000
2.205,170,140,-33.500000
2.205,170,150,-33.500000
2.205,170,160,-33.500000
2.205,170,170,-33.500000
2.205,170,180,-33.500000
2.205,170,190,-33.500000
2.205,170,200,-33.500000
2.205,170,210,-33.500000
2.205,170,220,-33.500000
2.205,170,230,-33.500000
2.205,170,240,-33.500000
2.205,170,250,-33.500000
2.205,170,260,-33.500000
2.205,170,270,-33.500000
2.205,170,280,-33.500000
2.205,170,290,-33.500000
2.205,170,300,-33.500000
2.205,170,310,-33.500000
2.205,170,320,-33.500000
2.205,170,330,-33.500000
2.205,170,340,-33.500000
2.205,170,350,-33.500000
2.205,180,0,-33.500000
2.205,180,10,-33.500000
2.205,180,20,-33.500000
2.205,180,30,-33.500000
2.205,180,40,-33.500000
2.205,180,50,-33.500000
2.205,180,60,-33.500000
2.205,180,70,-33.500000
2.205,180,80,-33.500000
2.205,180,90,-33.500000
2.205,180,100,-33.500000
2.205,180,110,-33.500000
2.205,180,120,-33.500000
2.205,180,130,-33.500000
2.205,180,140,-33.500000
2.205,180,150,-33.500000
2.205,180,160,-33.500000
2.205,180,170,-33.500000
2.205,180,180,-33.500000
2.205,180,190,-33.500000
2.205,180,200,-33.500000
2.205,180,210,-33.500000
2.205,180,220,-33.500000
2.205,180,230,-33.500000
2.205,180,240,-33.500000
2.205,180,250,-33.500000
2.205,180,260,-33.500000
2.205,180,270,-33.500000
2.205,180,280,-33.500000
2.205,180,290,-33.500000
2.205,180,300,-33.500000
2.205,180,310,-33.500000
2.205,180,320,-33.500000
2.205,180,330,-33.500000
2.205,180,340,-33.500000
2.205,180,350,-33.500000
